selector,seed,action,auroc,auroc_ci_high,auroc_ci_low,average_precision,average_precision_ci_high,average_precision_ci_low,calibration_examples,isotonic_brier,isotonic_brier_ci_high,isotonic_brier_ci_low,isotonic_ece,isotonic_ece_ci_high,isotonic_ece_ci_low,raw_brier,raw_brier_ci_high,raw_brier_ci_low,raw_ece,raw_ece_ci_high,raw_ece_ci_low,test_examples,test_safe_prevalence
learned_confidence,13,token_budget_r0.85_m4,0.4356741573033708,0.5990472489231633,0.271332562542678,0.9686928937569592,0.9902912676817748,0.9416483531490006,157,0.026673119467448943,0.042332175748002805,0.011142674981221741,0.002484066479794711,0.01930783242258638,0.00012295991769517567,0.13056216441522822,0.1486023780195882,0.11397328628737174,0.2442229512239908,0.27157963218610853,0.21475159570786576,366,0.9726775956284153
geometry_similarity,13,token_budget_r0.85_m4,0.4632022471910112,0.6526661765163682,0.26882506506697135,0.9716626986262302,0.9909498343914593,0.9472828509610941,157,0.0274455895517948,0.04546538741361215,0.013995268850906548,0.0019153410714819463,0.020252865546469375,0.0002726908195867434,0.39975273687325985,0.4171511661356849,0.3827906531398562,0.5952464773680995,0.6157519345492368,0.5726541558947271,366,0.9726775956284153
shuffled_confidence,13,token_budget_r0.85_m4,0.3601123595505618,0.5240849934390135,0.21121475032954615,0.9600147639174983,0.9865063267746137,0.9291146216718873,157,0.027516826401412165,0.04603893678597168,0.011754411597012047,0.0032951769434982348,0.020829640826422247,0.0002544180750908509,0.13592227925154987,0.1537358690735059,0.11906178094851814,0.2514202303776458,0.28131351308796,0.22895750077543478,366,0.9726775956284153
random_selector,13,token_budget_r0.85_m4,0.5724719101123595,0.7111231378026069,0.42561899456642,0.982202163590682,0.9940046702293988,0.9670960453355447,157,0.026686292873211476,0.04447722016858239,0.011347881978607753,0.0011061906807395827,0.01927476551452607,0.00029908757876047907,0.34724079741586544,0.37924601735904245,0.3170939137387453,0.4881498998621257,0.5212504133395532,0.4538875708870784,366,0.9726775956284153
budget_only,13,token_budget_r0.85_m4,0.5,0.5,0.5,0.9726775956284153,0.9863387978142076,0.953551912568306,157,0.02657929349930954,0.04473041946081453,0.01361420352680597,0.0018446973652149756,0.020970380425324286,0.0008875430719434974,0.0273224043715847,0.04644808743169399,0.01366120218579235,0.02732240437158473,0.04371584699453557,0.013592896174863407,366,0.9726775956284153
learned_confidence,17,token_budget_r0.85_m4,0.38437597261126677,0.5813262912815076,0.23667011327510107,0.9727615362091193,0.9900982324547919,0.9523219410347483,156,0.024188088013348454,0.04011729454240314,0.01096775427431508,0.0057500825288872015,0.022875096403585,0.00018038103706913554,0.14380939843208032,0.16123880771838778,0.12656227160315442,0.27333990184301643,0.3002230629854947,0.2461477064616625,366,0.9754098360655737
geometry_similarity,17,token_budget_r0.85_m4,0.19763460939931526,0.31654973346679377,0.0825440562261834,0.9518900619436419,0.9823133466804653,0.9163678531176292,156,0.024756224611217854,0.040896569697201075,0.011246761985973972,0.004696627952093579,0.022315669469892455,0.00035788122865820505,0.44105618615704145,0.4610271530220551,0.422375879574288,0.6214554461299395,0.6441399195943984,0.5971671763751555,366,0.9754098360655737
shuffled_confidence,17,token_budget_r0.85_m4,0.5711173358232181,0.7684970921334556,0.36302499843073255,0.9808782481632947,0.9955918261440484,0.9603701658479562,156,0.023942700651898664,0.03960823463985226,0.010844829255439026,0.00526237469569435,0.021951465284873517,0.00012103293983199425,0.15193137353598957,0.1703881068406931,0.1347048302293433,0.29149864825566757,0.31936928609979626,0.2645832629383999,366,0.9754098360655737
random_selector,17,token_budget_r0.85_m4,0.5275443510737629,0.7023929748135179,0.36069293460689905,0.9811214401581848,0.9936526687536982,0.9647934227085398,156,0.02859074484792598,0.04458584433405187,0.014175170607804337,0.02552671854404115,0.0431988816910167,0.011510383229707082,0.35237963386214155,0.38327913300314903,0.32182605027427663,0.49449625128328434,0.5275425032618539,0.45990835415237236,366,0.9754098360655737
budget_only,17,token_budget_r0.85_m4,0.5,0.5,0.5,0.9754098360655737,0.9890710382513661,0.9590163934426229,156,0.02401421088369386,0.039777136482685035,0.010878439551201217,0.00535939470365665,0.021752837326607488,0.00010508617066029569,0.02459016393442623,0.040983606557377046,0.01092896174863388,0.024590163934426257,0.040983606557377095,0.010928961748633892,366,0.9754098360655737
learned_confidence,19,token_budget_r0.85_m4,0.4756628413138109,0.6215968406593406,0.3236947082618828,0.984339936254117,0.9954813652985247,0.9698523804674044,156,0.01919794132457264,0.032925206037026596,0.006395513436923748,0.0057307279068467,0.019021499937524774,0.0004987549084701671,0.1266227040745748,0.1420996433922268,0.1110643624119682,0.2577743298565408,0.28193115889312836,0.23242946190094282,368,0.9809782608695652
geometry_similarity,19,token_budget_r0.85_m4,0.23189552829442028,0.41658402203856715,0.08263330691724216,0.9626852731632546,0.9903451226610228,0.9302309671028537,156,0.019583464533383544,0.03518102658714796,0.006748364571137132,0.005700680133323233,0.021239883204452085,0.004255005095129927,0.3958009718375026,0.4120525257276128,0.3800886281416062,0.5970627854213767,0.6173896791747487,0.5773392087572415,368,0.9809782608695652
shuffled_confidence,19,token_budget_r0.85_m4,0.6608626830233479,0.8728396603396604,0.4400137741046832,0.9896720316512476,0.998431251880543,0.9764711441286096,156,0.018502812962655258,0.03156065700009921,0.008243246418171686,0.004704870956961815,0.017454553339796466,0.0003114265394778687,0.1234246423266526,0.13879319149544386,0.10788970695670919,0.2614078932265364,0.2851849887206909,0.23754247478574586,368,0.9809782608695652
