selector,split,budget_ratio,min_keep,target_coverage,final_hit@10,hit_delta_vs_dense_pp,token_saving_vs_dense_pct,actual_coverage,source_selective_risk,dense_selective_risk,hit_delta_vs_source_pp,num_seeds,saving_target_pct,token_saving_vs_source_pct
geometry_feedback,calibration,0.88,7,0.2,0.8603351955307262,0.0,4.949534283795158,0.2011173184357542,0.0,0.0,0.0,3,5.0,4.949534283795158
geometry_feedback,test,0.88,7,0.2,0.86810551558753,-0.23980815347722043,3.9954978467962885,0.20943245403677058,0.012398373983739839,0.012398373983739839,-0.23980815347722043,3,5.0,3.9954978467962885
geometry_feedback,calibration,0.98,4,0.9,0.851024208566108,-0.9310986964618221,9.967120725788872,0.9050279329608939,0.011688531504234231,0.011688531504234231,-0.9310986964618221,3,10.0,9.967120725788872
geometry_feedback,test,0.98,4,0.9,0.8609112709832134,-0.959232613908878,9.506448736352166,0.9160671462829736,0.011904973435917484,0.011904973435917484,-0.959232613908878,3,10.0,9.506448736352166
geometry_feedback,calibration,0.8,6,0.5,0.8491620111731844,-1.1173184357541888,14.940977355014248,0.5027932960893855,0.023727092277154596,0.023727092277154596,-1.1173184357541888,3,15.0,14.940977355014248
geometry_feedback,test,0.8,6,0.5,0.8513189448441247,-1.918465227817745,13.796272130149202,0.5123900879296563,0.04102157732281003,0.04102157732281003,-1.918465227817745,3,15.0,13.796272130149202
geometry_feedback,calibration,0.88,4,0.9,0.851024208566108,-0.9310986964618221,19.906390475722404,0.9050279329608939,0.011688531504234231,0.011688531504234231,-0.9310986964618221,3,20.0,19.906390475722404
geometry_feedback,test,0.88,4,0.9,0.8537170263788969,-1.6786570743405282,18.32941841750402,0.9160671462829736,0.020833703512855593,0.020833703512855593,-1.6786570743405282,3,20.0,18.32941841750402
geometry_no_feedback,calibration,0.88,8,0.4,0.8584729981378026,-0.18621973929236293,5.038758224544408,0.4022346368715084,0.006060606060606061,0.006060606060606061,-0.18621973929236293,3,5.0,5.038758224544408
geometry_no_feedback,test,0.88,8,0.4,0.8609112709832134,-0.959232613908878,5.0017943364217645,0.36370903277378097,0.0344143404488232,0.0344143404488232,-0.959232613908878,3,5.0,5.0017943364217645
