dataset,method,task_type,scope,query_split,corpus_scope,corpus_sampling,num_corpus_chunks,num_queries,num_skipped_no_gt,num_queries_with_gt_in_corpus,gt_query_coverage,recall@1,recall@5,recall@10,mrr@10,ndcg@10,elapsed_sec,notes
cuad,BM25,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,10000,79,21,79,1.0,0.0127,0.0253,0.0506,0.0232,0.0209,1.519,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
cuad,Dense,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,10000,79,21,79,1.0,0.0253,0.0380,0.0759,0.0334,0.0349,76.510,"Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large."
cuad,Hybrid RRF,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,10000,79,21,79,1.0,0.0127,0.0506,0.0633,0.0254,0.0259,78.361,"Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors. Dense encoder is all-MiniLM-L6-v2 CPU exact cosine, not BGE-large."
