baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,dense_policy,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,intentroute_policy,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,quality_margin_pp,scale,seed,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
0.8705035971223022,11,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.0023311855814646676,-0.04917840723689148,-0.02567624359983576,0.019184652278177457,-0.026378896882494004,-0.002398081534772182,11,396,10,token_budget_r0.95_m4,1.0,0.86810551558753,intentroute_independent_budget,10,task65_3:dynamic_gated:seed13:token_budget_r0.95_m4,1375.6450839328538,0.009279243272049027,-0.017828713987575184,False,0.01,417,0.0,100k,13,-48.18705035971225,-139.10473621103117,-94.4748201438849,6,273,9,0.6690647482014388,0.9357366566618819,139.9497601918465,48.45227817745804,94.4748201438849,6.426334333811812,1.155320141562371e-13
0.8705035971223022,9,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.01301978599237345,-0.05268328679346417,-0.03149777684942656,0.014388489208633094,-0.023980815347721823,-0.004796163069544364,9,401,7,token_budget_r0.95_m4,0.803619384765625,0.8657074340527577,intentroute_independent_budget,7,task65_3:dynamic_gated:seed17:token_budget_r0.95_m4,1365.1966426858514,0.008989950896425717,-0.01936240091260671,False,0.01,417,0.0,100k,17,-52.55473621103121,-156.18141486810552,-104.92326139088729,3,277,8,0.6714628297362111,0.9286294532167559,154.82392086330933,55.064088729016795,104.92326139088729,7.1370546783244055,6.177566253542725e-14
0.8705035971223022,11,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,0.003458857410265236,-0.04527232296861422,-0.02106850122230921,0.03117505995203837,-0.014388489208633094,0.007194244604316547,11,392,14,token_budget_r0.95_m4,0.6900379657745361,0.8776978417266187,intentroute_independent_budget,14,task65_3:dynamic_gated:seed19:token_budget_r0.95_m4,1396.9016786570744,0.0255405199649804,-0.010880343802186084,False,0.01,417,0.0,100k,19,-27.58597122302159,-112.29046762589928,-73.21822541966426,7,258,8,0.6354916067146283,0.9501957457914656,114.00365707434052,29.839028776978417,73.21822541966426,4.98042542085344,1.0736501239574712e-10
0.8705035971223022,13,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.0069626130712089574,-0.05175034617775253,-0.030126017114357476,0.014388489208633094,-0.02877697841726619,-0.007194244604316547,13,394,10,token_budget_r0.93_m4,0.6776394844055176,0.8633093525179856,intentroute_independent_budget,10,task65_3:dynamic_gated:seed13:token_budget_r0.93_m4,1348.3237410071943,0.008713029576338929,-0.019857653058989105,False,0.01,417,0.5,100k,13,-75.42164268585137,-166.78735011990406,-121.79616306954436,6,287,10,0.7026378896882494,0.9171522249771631,165.7532374100719,77.33033573141489,121.79616306954436,8.284777502283692,4.99588603044997e-19
0.8705035971223022,10,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.013784810858582899,-0.055517128691434076,-0.03452565757514902,0.011990407673860911,-0.026378896882494004,-0.007194244604316547,10,400,7,token_budget_r0.93_m4,0.629058837890625,0.8633093525179856,intentroute_independent_budget,7,task65_3:dynamic_gated:seed17:token_budget_r0.93_m4,1335.5659472422062,0.008723497392562141,-0.02107365254469465,False,0.01,417,0.5,100k,17,-84.6141486810552,-182.77553956834532,-134.55395683453239,3,288,9,0.697841726618705,0.9084741615555266,189.23950839328532,85.46576738609113,134.55395683453239,9.152583844447337,2.5355978840230558e-20
0.8705035971223022,12,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.002960187306193265,-0.05040313819253598,-0.027176471988553358,0.026378896882494004,-0.016846522781774474,0.004796163069544364,12,391,14,token_budget_r0.93_m4,0.8450189828872681,0.8752997601918465,intentroute_independent_budget,14,task65_3:dynamic_gated:seed19:token_budget_r0.93_m4,1375.0431654676258,0.025240759773133874,-0.013833757041965312,False,0.01,417,0.5,100k,19,-51.007553956834606,-136.16684652278178,-95.07673860911271,7,272,9,0.6690647482014388,0.9353272217147331,134.9020983213429,48.62523980815348,95.07673860911271,6.467277828526685,1.0664721836333139e-14
0.8705035971223022,16,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.021267512449213644,-0.06780566064389867,-0.04456865020000719,0.007194244604316547,-0.0407673860911271,-0.016786570743405275,16,392,9,token_budget_r0.84_m4,0.2295229434967041,0.8537170263788969,intentroute_independent_budget,9,task65_3:dynamic_gated:seed13:token_budget_r0.84_m4,1221.0479616306955,0.007647215560884626,-0.026468505010310922,False,0.01,417,1.0,100k,13,-207.98213429256597,-291.42571942446045,-249.07194244604315,6,331,12,0.8081534772182254,0.8305771238418375,292.7765587529976,208.41187050359713,249.07194244604315,16.942287615816255,8.892855565902888e-41
0.8705035971223022,12,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.02638056974930585,-0.06808220720781191,-0.046721819439507366,0.004796163069544364,-0.03357314148681055,-0.014388489208633094,12,399,6,token_budget_r0.84_m4,0.237884521484375,0.8561151079136691,intentroute_independent_budget,6,task65_3:dynamic_gated:seed17:token_budget_r0.84_m4,1191.9232613908873,0.007781393932473069,-0.027098298928463396,False,0.01,417,1.0,100k,17,-233.63507194244605,-330.1197242206235,-278.1966426858513,4,338,11,0.8201438848920863,0.8107660185306017,329.8245803357314,231.54346522781776,278.1966426858513,18.923398146939828,1.615639419328517e-44
0.8705035971223022,14,task65_3:dense:seed13:token_budget_r1.00_m4,1470.1199040767385,token_budget_r1.00_m4,-0.017613717728608595,-0.06505084028015683,-0.04121078566315481,0.014388489208633094,-0.03117505995203837,-0.007194244604316547,14,392,11,token_budget_r0.84_m4,0.6900379657745361,0.8633093525179856,intentroute_independent_budget,11,task65_3:dynamic_gated:seed19:token_budget_r0.84_m4,1241.8345323741007,0.023908492253815996,-0.020064746310162602,False,0.01,417,1.0,100k,19,-192.19352517985618,-267.8875299760192,-228.2853717026379,6,321,12,0.7841726618705036,0.8447164948453608,266.8404076738609,190.40491606714627,228.2853717026379,15.528350515463918,5.875356566238492e-36
0.8465227817745803,11,task65_3:dense:seed13:token_budget_r0.82_m4,1099.3764988009593,token_budget_r0.82_m4,0.0065919688491630915,-0.04030142336347372,-0.016236448070980444,0.023980815347721823,-0.02158273381294964,0.002398081534772182,11,394,12,token_budget_r0.80_m4,1.0,0.8489208633093526,intentroute_independent_budget,12,task65_3:dynamic_gated:seed13:token_budget_r0.80_m4,1164.9304556354916,0.009705568878230748,-0.011444281538087376,False,0.01,417,2.0,100k,13,107.39514388489205,29.706235011990408,65.55395683453237,1,160,5,0.38609112709832133,1.0596283046854549,-29.96258992805756,-109.20473621103118,-65.55395683453237,-5.962830468545488,0.9998880728838213
0.8465227817745803,7,task65_3:dense:seed13:token_budget_r0.82_m4,1099.3764988009593,token_budget_r0.82_m4,0.009794953035929215,-0.03337805158918095,-0.01259575560927583,0.02877697841726619,-0.009592326139088728,0.009592326139088728,7,399,11,token_budget_r0.80_m4,0.480682373046875,0.8561151079136691,intentroute_independent_budget,11,task65_3:dynamic_gated:seed17:token_budget_r0.80_m4,1141.589928057554,0.010448783830078794,-0.010396910235502887,True,0.01,417,2.0,100k,17,85.5648081534772,4.493884892086331,42.21342925659472,1,168,3,0.4052757793764988,1.0383976092836575,-5.287050359712261,-86.69070743405274,-42.21342925659472,-3.839760928365754,0.9953926372620394
