calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dataset,fold,hit@10,hit_delta_pp,method,saving_pct,seed,selected_policy,test_queries
True,0.048169556840075664,1412,11.763623847202213,covidqa,0,0.6432748538011696,-0.5847953216374324,intentroute,11.574872865964391,13,token_budget_r0.92_m4,353
True,0.048169556840075664,1412,11.763623847202213,covidqa,0,0.6578947368421053,0.8771929824561431,intentroute,11.480657464584088,17,token_budget_r0.92_m4,353
True,0.048169556840075664,1412,11.763623847202213,covidqa,0,0.6403508771929824,-0.8771929824561431,intentroute,10.788231020704686,19,token_budget_r0.92_m4,353
False,-1.6618497109826547,1412,10.079682052168193,covidqa,0,0.6491228070175439,0.0,dense,0.0,,dense_top10_fallback,353
True,0.21770682148040862,1412,11.674397035867605,covidqa,1,0.5948275862068966,-0.8620689655172376,intentroute,11.335445297162238,13,token_budget_r0.92_m4,353
True,0.21770682148040862,1412,11.674397035867605,covidqa,1,0.5804597701149425,-2.298850574712641,intentroute,11.875334642155977,17,token_budget_r0.92_m4,353
True,0.21770682148040862,1412,11.674397035867605,covidqa,1,0.6091954022988506,0.5747126436781658,intentroute,11.724745671961445,19,token_budget_r0.92_m4,353
False,-1.7416545718432541,1412,10.125150805180706,covidqa,1,0.603448275862069,0.0,dense,0.0,,dense_top10_fallback,353
True,0.16920473773265704,1412,10.049707059976354,covidqa,2,0.6455331412103746,0.0,intentroute,10.106610744518507,13,token_budget_r0.95_m4,353
True,0.16920473773265704,1412,10.049707059976354,covidqa,2,0.654178674351585,0.8645533141210415,intentroute,9.961681617057728,17,token_budget_r0.95_m4,353
True,0.16920473773265704,1412,10.049707059976354,covidqa,2,0.6397694524495677,-0.5763688760806907,intentroute,9.478584525521805,19,token_budget_r0.95_m4,353
False,-1.3778100072516342,1412,10.054859506826519,covidqa,2,0.6455331412103746,0.0,dense,0.0,,dense_top10_fallback,353
True,0.02417210539038169,1412,11.623308369465251,covidqa,3,0.5763688760806917,0.2881844380403509,intentroute,11.776442753251837,13,token_budget_r0.92_m4,353
True,0.02417210539038169,1412,11.623308369465251,covidqa,3,0.5734870317002881,0.0,intentroute,12.420816206373953,17,token_budget_r0.92_m4,353
True,0.02417210539038169,1412,11.623308369465251,covidqa,3,0.5677233429394812,-0.5763688760806907,intentroute,11.333776726233957,19,token_budget_r0.92_m4,353
False,-1.5953589557650472,1412,10.426825834787989,covidqa,3,0.5734870317002881,0.0,dense,0.0,,dense_top10_fallback,353
False,-0.048169556840075664,1412,9.386845657439771,covidqa,4,0.5847953216374269,0.0,intentroute,0.0,13,dense_top10_fallback,353
False,-0.048169556840075664,1412,9.386845657439771,covidqa,4,0.5847953216374269,0.0,intentroute,0.0,17,dense_top10_fallback,353
False,-0.048169556840075664,1412,9.386845657439771,covidqa,4,0.5847953216374269,0.0,intentroute,0.0,19,dense_top10_fallback,353
False,-1.4450867052023142,1412,10.124812780828751,covidqa,4,0.5847953216374269,0.0,dense,0.0,,dense_top10_fallback,353
