config,scope,seeds,epochs,reward_attribution,confidence_mode,dense_depth,bm25_depth,cluster_depth,dense_lite_depth,bm25_lite_depth,dense_lite_floor_k,mid_confidence_threshold,high_confidence_threshold,hit@10_mean,hit@10_std,evidence_recall@10_mean,last_epoch_final_true_reward_mean,last_epoch_route_true_reward_mean,avg_source_candidate_cost_mean,last_epoch_source_cost_mean,dense_query_rate_mean,dense_saved_rate_mean,linucb_primary_rate_mean,hybrid_lite_rate_mean,full_dense_fallback_rate_mean,selected_cluster_hit_rate_mean,avg_confidence_mean
task25_cluster_only_value,lotte_technology_search_100k,"13,17,19",8,cluster_only,value,100,100,100,30,20,3,0.44,0.74,0.8763982102908278,0.0007909471825353,0.6829437870205345,0.7606263982102908,0.8327740492170023,181.47231543624162,156.02348993288592,0.6707913870246084,0.3292086129753915,0.3292086129753915,0.3951342281879195,0.275657158836689,0.7223154362416108,0.611984782483944
task26_A_cost_first_smoke,lotte_technology_search_100k,13,8,cluster_only,value,80,60,60,10,10,1,0.30,0.60,0.8523489932885906,0.0,0.6467746749155856,0.7885906040268457,0.8506711409395973,84.37709731543625,75.36912751677852,0.4460989932885906,0.5539010067114094,0.5539010067114094,0.36346476510067116,0.08263422818791946,0.7514681208053692,0.6297855122733318
task26_B_cost_balanced,lotte_technology_search_100k,"13,17,19",8,cluster_only,value,100,80,80,10,10,1,0.35,0.65,0.8579418344519016,0.004185299090351179,0.650619263420843,0.779082774049217,0.8461968680089486,120.998322147651,104.30089485458613,0.5539709172259508,0.4460290827740492,0.4460290827740492,0.39485458612975394,0.15911633109619686,0.7193791946308724,0.608393378223632
task26_C_cluster_depth_smoke,lotte_technology_search_100k,13,8,cluster_only,value,100,80,100,10,10,1,0.35,0.65,0.8573825503355704,0.0,0.6384816233549166,0.7818791946308725,0.8540268456375839,136.2248322147651,121.19127516778524,0.511744966442953,0.488255033557047,0.48825503355704697,0.3798238255033557,0.1319211409395973,0.7594379194630873,0.6313698720343434
task26_D_weight_smoke,lotte_technology_search_100k,13,8,cluster_only,value,100,80,80,10,10,1,0.35,0.65,0.8624161073825504,0.0,0.6665596834380101,0.7986577181208053,0.8624161073825504,117.05956375838926,103.65771812080537,0.5146812080536913,0.48531879194630867,0.4853187919463087,0.3777265100671141,0.13695469798657717,0.7577600671140939,0.6297759309031238
task26_E_quality_first,lotte_technology_search_100k,"13,17,19",8,cluster_only,value,100,100,100,10,10,1,0.44,0.74,0.866331096196868,0.003447658838349549,0.6587845895811357,0.7595078299776287,0.8327740492170023,166.3262024608501,140.03914988814319,0.6707913870246084,0.3292086129753915,0.3292086129753915,0.3951342281879195,0.275657158836689,0.7223154362416108,0.611984782483944
