config,scope,seeds,epochs,bm25_enabled,dense_depth,cluster_depth,dense_lite_depth,dense_lite_floor_k,mid_confidence_threshold,high_confidence_threshold,hit@10_mean,hit@10_std,evidence_recall@10_mean,last_epoch_final_true_reward_mean,last_epoch_route_true_reward_mean,avg_source_candidate_cost_mean,last_epoch_source_cost_mean,dense_query_rate_mean,dense_saved_rate_mean,linucb_primary_rate_mean,hybrid_lite_rate_mean,full_dense_fallback_rate_mean,avg_bm25_candidates_mean,selected_cluster_hit_rate_mean,avg_confidence_mean
task27_A_cost_first_smoke,lotte_technology_search_100k,13,8,false,100,80,10,1,0.30,0.60,0.8456375838926175,0.0,0.6413383001419624,0.790268456375839,0.8624161073825504,91.99664429530202,86.29194630872483,0.442743288590604,0.557256711409396,0.5572567114093959,0.3586409395973154,0.08410234899328858,0.0,0.7577600671140939,0.6297759309031238
task27_B_sub_dense_cost,lotte_technology_search_100k,"13,17,19",8,false,100,80,20,2,0.30,0.60,0.8534675615212528,0.004403807535800771,0.6446983719424997,0.7723713646532439,0.8461968680089486,97.7572706935123,89.25055928411632,0.4893736017897092,0.5106263982102909,0.5106263982102909,0.3897511185682327,0.0996224832214765,0.0,0.7193791946308724,0.608393378223632
task27_C_near_dense_boundary,lotte_technology_search_100k,"13,17,19",8,false,100,90,20,2,0.30,0.60,0.8534675615212528,0.008913522064043193,0.6352076312017587,0.756152125279642,0.8333333333333334,107.17561521252797,99.35123042505593,0.4784675615212528,0.5215324384787472,0.5215324384787472,0.3833892617449665,0.09507829977628635,0.0,0.7253914988814318,0.6141526368107412
task27_D_aggressive_gate_smoke,lotte_technology_search_100k,13,8,false,100,80,20,2,0.25,0.55,0.8489932885906041,0.0,0.6500747841091511,0.790268456375839,0.8624161073825504,91.11996644295301,86.00671140939598,0.3840184563758389,0.6159815436241611,0.615981543624161,0.3410234899328859,0.04299496644295302,0.0,0.7577600671140939,0.6297759309031238
task27_E_cluster85_smoke,lotte_technology_search_100k,13,8,false,100,85,15,2,0.30,0.60,0.8573825503355704,0.0,0.6572615850040057,0.790268456375839,0.8624161073825504,98.78984899328859,92.50838926174497,0.442743288590604,0.557256711409396,0.5572567114093959,0.3586409395973154,0.08410234899328858,0.0,0.7577600671140939,0.6297759309031238
task27_F_quality_smoke,lotte_technology_search_100k,13,8,false,100,100,20,2,0.44,0.74,0.8624161073825504,0.0,0.6597507322288914,0.7751677852348994,0.8540268456375839,132.59228187919464,120.50335570469798,0.6421979865771812,0.3578020134228188,0.3578020134228188,0.3953439597315436,0.2468540268456376,0.0,0.7594379194630873,0.6313698720343434
