run_id,source_label,method,seed,num_queries,num_skipped_no_gt,avg_context_chunks@1,avg_context_chunks@10,avg_context_chunks@5,avg_context_tokens@1,avg_context_tokens@10,avg_context_tokens@5,avg_missing_chunks@1,avg_missing_chunks@10,avg_missing_chunks@5,context_token_delta_vs_baseline@1,context_token_delta_vs_baseline@10,context_token_delta_vs_baseline@5,context_token_ratio_vs_baseline@1,context_token_ratio_vs_baseline@10,context_token_ratio_vs_baseline@5,evidence_recall@1,evidence_recall@10,evidence_recall@5,hit@1,hit@10,hit@5,hit_delta_vs_baseline@1,hit_delta_vs_baseline@10,hit_delta_vs_baseline@5,max_context_tokens@1,max_context_tokens@10,max_context_tokens@5,median_context_tokens@1,median_context_tokens@10,median_context_tokens@5,mrr@1,mrr@10,mrr@5,ndcg@1,ndcg@10,ndcg@5,p95_context_tokens@1,p95_context_tokens@10,p95_context_tokens@5,recall@1,recall@10,recall@5
dense,dense,dense,,596,0,1.0,10.0,5.0,141.10906040268458,1482.2986577181207,731.6375838926175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.23227772839480199,0.577735361850729,0.4706175259721894,0.5067114093959731,0.7718120805369127,0.6895973154362416,0.0,0.0,0.0,1167.0,5098.0,2777.0,96.5,1288.5,611.5,0.5067114093959731,0.5875519335250878,0.5762024608501118,0.5067114093959731,0.5173615467977577,0.4857127039715055,428.25,3003.0,1634.5,0.5067114093959731,0.7718120805369127,0.6895973154362416
task29_C_400k:gated_cost_aware:seed13,task29_C_400k,gated_cost_aware,13,596,0,1.0,8.976510067114093,5.0,157.23657718120805,1401.1442953020135,782.9429530201343,0.0,0.0,0.0,16.12751677852347,-81.15436241610723,51.30536912751677,1.1142911499268735,0.9452510045843003,1.0701240207679747,0.21434089965679876,0.5577433487017497,0.4615663236323965,0.46812080536912754,0.7802013422818792,0.697986577181208,-0.03859060402684561,0.008389261744966459,0.008389261744966459,1167.0,4824.0,2636.0,107.5,1251.0,678.5,0.46812080536912754,0.5647511185682328,0.5530201342281877,0.46812080536912754,0.49025565951725664,0.46303385160803223,463.25,2864.0,1689.0,0.46812080536912754,0.7802013422818792,0.697986577181208
task29_C_400k:gated_cost_aware:seed17,task29_C_400k,gated_cost_aware,17,596,0,1.0,8.95973154362416,5.0,154.1006711409396,1373.5268456375838,774.8120805369127,0.0,0.0,0.0,12.99161073825502,-108.77181208053685,43.17449664429523,1.0920678707744258,0.9266195030844984,1.059010769258994,0.2284070162396938,0.5727434818646344,0.48269140474069894,0.5,0.7869127516778524,0.714765100671141,-0.006711409395973145,0.015100671140939603,0.025167785234899376,1167.0,4931.0,3041.0,106.0,1217.0,673.5,0.5,0.5898236923404708,0.579642058165548,0.5,0.5109846198643928,0.48773185699370947,444.5,2675.0,1658.0,0.5,0.7869127516778524,0.714765100671141
task29_C_400k:gated_cost_aware:seed19,task29_C_400k,gated_cost_aware,19,596,0,1.0,9.063758389261745,5.0,159.91442953020135,1435.6057046979865,773.753355704698,0.0,0.0,0.0,18.80536912751677,-46.692953020134155,42.11577181208054,1.1332683321244692,0.9684996321240591,1.0575637074137267,0.22765597756919206,0.5681558086318272,0.47363893130064194,0.4983221476510067,0.7785234899328859,0.6946308724832215,-0.008389261744966459,0.006711409395973145,0.005033557046979942,1167.0,5062.0,2777.0,111.0,1252.0,679.0,0.4983221476510067,0.5849179716629381,0.5730145413870245,0.4983221476510067,0.5061016493749145,0.48041720251358366,443.5,3036.75,1648.25,0.4983221476510067,0.7785234899328859,0.6946308724832215
